סבב בחירות,שם ישוב,סמל ישוב,סמל קלפי,בזב,מצביעים,כשרים,פסולים,אמת,ג,ד,ה,ו,ז,זה,זך,חץ,טב,יש,כ,כן,כץ,ל,מחל,מרצ,נץ,עם,פ,פז,פכ,פץ,ף,צה,ק,קז,קנ,קפ,רק,שס
2006,אשדוד,70,300,699,610,605,5,8,127,0,0,0,0,2,0,0,6,0,1,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451
2006,אשדוד,70,310,505,285,277,8,29,12,1,1,0,0,32,4,0,8,1,0,27,0,40,28,3,0,1,1,0,0,0,0,0,2,0,3,0,0,84
2006,אשדוד,70,320,484,446,441,5,0,78,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,357
2006,אשדוד,70,330,713,332,328,4,29,23,0,0,0,0,7,7,2,4,0,3,31,1,46,26,2,0,1,3,0,0,0,0,0,4,1,4,0,2,132
2006,אשדוד,70,340,654,323,315,8,20,31,0,0,0,0,41,1,0,8,1,1,23,0,45,22,0,1,0,0,1,0,0,2,0,2,0,3,0,1,112
2006,אשדוד,70,350,522,276,273,3,22,20,0,0,0,0,10,3,0,18,0,2,44,0,48,18,1,1,0,1,0,0,1,0,0,1,3,3,0,1,76
2006,אשדוד,70,360,589,295,290,5,52,9,0,0,0,0,0,18,0,33,2,0,70,0,28,23,7,0,0,4,0,0,1,0,0,1,0,4,0,1,37
2006,אשדוד,70,370,485,249,240,9,13,15,0,0,1,0,18,1,0,0,0,1,26,0,56,21,1,0,0,5,0,0,0,0,0,1,0,3,0,0,78
2006,אשדוד,70,380,689,275,265,10,44,4,0,0,0,0,0,11,1,17,1,1,59,0,27,29,1,1,1,1,1,1,1,1,0,1,1,1,0,0,60
2006,אשדוד,70,390,516,272,255,17,16,12,0,0,0,0,25,0,0,7,0,0,40,0,59,26,3,1,0,0,0,0,0,3,0,1,1,0,1,2,58
2006,אשדוד,70,400,504,224,218,6,35,3,0,0,0,0,2,5,3,15,0,1,37,1,49,17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,48
2006,אשדוד,70,410,557,291,287,4,19,3,0,0,1,0,8,4,4,3,1,0,38,0,59,24,0,0,0,0,0,1,0,1,0,0,2,5,0,1,113
2006,אשדוד,70,420,505,219,215,4,18,3,0,0,0,1,2,7,1,18,0,0,30,0,33,31,2,0,0,1,0,0,0,0,0,1,0,1,0,0,66
2006,אשדוד,70,430,532,245,234,11,24,3,1,0,1,0,13,5,7,3,0,1,24,0,79,30,1,0,0,1,0,0,0,0,0,1,0,3,0,2,35
2006,אשדוד,70,440,608,541,541,0,1,425,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,111
2006,אשדוד,70,450,653,344,342,2,55,3,0,0,1,1,0,21,1,39,2,2,108,0,17,35,12,0,0,5,0,1,0,0,0,1,3,4,0,8,23
2006,אשדוד,70,460,676,313,302,11,31,5,0,0,0,0,18,4,0,9,2,0,41,0,45,51,3,0,1,0,1,0,0,0,0,0,1,3,0,2,85
2006,אשדוד,70,470,693,331,321,10,35,6,0,0,0,0,12,18,1,9,0,2,48,0,52,58,0,0,1,0,0,0,1,0,1,1,2,3,1,3,67
